umhlaba	u m hlaba
unelungelo	u n e lungel o
kwakuzomnika	kw a ku zo m nik a
nani	na ni
omdala	o m dala
engangize	e ng a ngi z e
idlalwa	i dlal w a
kwakunguchithimpi	kw a ku ng u chith i m pi
ngifa	ngi f a
esikhwameni	e si khwam eni
labo	la bo, la b o
kimi	ki mi
babeqonda	ba be qond a
abathunywe	a ba thuny w e
lomgcagco	l o m gcagc o
igceke	i gcek e
cabanga	cabang a
bahlehlela	ba hlehl el a
eyayifikile	e ya yi fik ile, e y a yi fik ile, e y a yi fikil e
namuntu	n a mu ntu
nikhumbule	ni khumbul e
wendlu	w e ndlu
akukwakho	a ku kwa kho
isimilamongo	i si mila mongo
obhalayo	o bhal a yo
bengithi	be ngi thi
owesifazane	o w e si faz ane
okudingekayo	o ku ding ek a yo
yimisebenzi	y i m isebenzi
sikwazi	si kw azi
kwalemali	kwa le mali
khulula	khulul a
uyalilahla	u ya li lahl a
bekuzobathatha	be ku zo ba thath a
okwezandla	o kw e z andla
yizifo	y i zi fo
ungitheni	u ngi th e ni
balapha	balapha
buthi	bu thi
ukuwuphendula	u ku wu phendul a
sengihamba	se ngi hamb a
azobuye	a zo buy e
ezibuko	e zi buk o
unyoko	u nyoko
bomakhelwane	bo makhelwane
abaziphethe	a ba zi pheth e
muzi	mu zi
ashayeke	a shay ek e
nina	ni na
sikhulekile	si khul ek ile
nesithumuthumu	n e si thumuthumu
nini	nini
basabonga	ba sa bong a
ngathi	ng a thi
izokulimaza	i zo ku limaz a
ifika	i fik a
babelungu	b a be lungu
bengiye	be ngi ye
elakhe	e la khe
hha	hha
hhe	hhe
eshona	e shon a
hho	hho
yalapha	y alapha
yimina	yi mi na
sengakhetha	se ng a kheth a
babekhulumela	b a be khulum el a
kumpontshi	ku mpontshi
athande	a thand e
baziphathe	ba zi phath e
ibheshu	i bheshu
usazoncengeka	u sa zo nceng ek a
ihlombe	i hlombe
ngonyama	ng o nyama
unqaba	u nqab a
wakuthatha	w a ku thath a
kandwandwe	ka ndwandwe
abefundisi	a be fund is i
kuvele	ku vele
uphinda	u phind a
azihluphe	a zi hluph e
awuzwa	a wu zw a
abilayo	a bil a yo
bekunganjani	be ku nga njani
basacabanga	ba sa cabang a
kudllwa	ku dll w a
kababobuya	ka ba bo buy a
kubuzwa	ku buz w a
ngejaz	ng e jaz
kuningi	ku ningi
awukulahlile	a wu ku lahl ile
ngikunikelani	ngi ku nik el a ni
kusedobs	ku se dobs
emaphusheni	e ma phush eni
amaqembu	a ma qembu
empeleni	e m pel eni
akuphelanga	a ku phel anga
ngangingakaze	ng a ngi nga ka ze
wuluwulu	wuluwulu
lalela	lalel a
kuhamba	ku hamb a
kuhambe	ku hamb e
umcabango	u m cabang o
ngeshwa	ng e shwa
kwakufakazelwa	kw a ku fakazel w a
ubulima	u bu lima
kwezwakala	kw ezw akal a
ntaba	n taba
emaceleni	e ma cel eni
akufunde	a ku fund e
wafica	w a fic a
zalutho	za lu tho
umnu	u m nu
kuchithimpi	ku chith i m pi
ifu	i fu
nezigi	n e zi gi
ebika	e bik a
bahamba	ba hamb a, b a hamb a
bahambe	ba hamb e
ayihlali	a yi hlal i
nesonto	n e sonto
kuxutshwe	ku xutsh w e
nombuso	n o m bus o
umthwalo	u m thwal o
ngizophekelwa	ngi zo phekel w a
nasempilweni	na se m pil w eni
isilima	i si lima
yithi	yi thi
zakubona	z a ku bon a
ezidlulayo	e zi dlul a yo
enginalo	e ngi na lo
kakukho	ka ku kho
ubulolongekile	u b u lolong ek ile
seyithande	se yi thand e
kubenyezele	ku benyezel e
yokuthuthukiswa	y o ku thuthuk is w a
ngingasho	ngi nga sho
igcinile	i gcin ile
ugugile	u gug ile
esingalali	e si nga lal i
mahazula	ma hazula
sisakuhlehlisela	si sa ku hlehl is el a
nathengisa	n a theng is a
laba	la ba
labe	l ab e
ekhuphukayo	e khuphuk a yo
yabakwabuthelezi	y a ba kwa buthelezi
isidingo	i si ding o
kaliluphile	ka li lu ph ile
esekhanyise	e se khany is e
base	ba se
limele	li m el e
ase	a s e
basa	b a s a
benkunzi	b e n kunzi
ngisayixoxela	ngi sa yi xox el a
ligcotshiwe	li gcotsh iw e
esamkhuza	e sa m khuz a
sehlulekile	s e hlul ek ile
lamathuna	l a ma thuna, la ma thuna
ebhaliwe	e bhal iw e
yindaba	y i n daba
knott	knott
besuka	be suk a
iyayidinga	i ya yi ding a
sisondela	si sondel a
abazokukhombisa	a ba zo ku khomb is a
sakufica	s a ku fica, s a ku fic a
ukuhhuma	u ku hhum a
uzenza	u z enz a
uzenze	u z enz e
angakaya	a nga ka y a
wabona	w a bon a
umzinyathi	u m zi nyathi
nakumnaka	na ku m nak a
awazi	a w azi
kwakuyibona	kw a ku yi bon a
ayiphendule	a yi phendul e
uzofela	u zo f el a
niyazi	ni y azi
uzoyibiza	u zo yi biz a
eyobathatha	e yo ba thath a
lendlela	l e n dlela
bayizithunjwa	ba y i zi thunj w a
kwaqala	kw a qal a
kusentendeni	ku se n tend eni
walungisa	w a lung is a
abagwaza	a ba gwaz a
ithululwa	i thulul w a
makahambe	ma ka hamb e
usale	u sal e
umusa	u mu sa
ezifana	e zi fan a
uziphekele	u zi phek el e
zethu	z ethu
isiyaziwa	i s i y az iw a
ziyayikhahlela	zi ya yi khahl el a
onjengami	o njenga mi
bazongena	ba zo ngen a
isingamjikijela	i s i nga m jikij el a
angisayithandi	a ngi sa yi thand i
ngendlala	ng e n dlala
amnike	a m nik e
amaloli	a ma loli
kwazo	kwa zo
kwazi	kw azi
kwaze	kw a ze, kw a z e
engaka	e ngaka
kababaningi	ka b a ba ningi
ukusho	u ku sho
kuleyondawo	ku le y o n dawo
isimane	i s i mane
uthuke	u thuk e
aguqe	a guq e
wakudlisa	w a ku dl is a
alandilandiswe	a landiland is w e
obunzima	o bu nzima
wokuphuma	w o ku phum a
nezikhokho	n e zi khokho
engenaluzwelo	e nge na lu zw el o
amashumi	a ma shumi
beshabasheka	be shabash ek a
awezwe	a w ez w e, a w ezw e
balindele	ba lind el e
kawunoni	ka wu non i
balindela	ba lind el a
ukuhlanza	u ku hlanz a
wokwetshelekana	w o kw etshel ek an a
alisabashiseli	a li sa ba sh is el i
ngasekupheleni	nga se ku phel eni
wanikina	w a nikin a
okomcibisholo	o k o m cibisholo
usetshenziselwa	u setshenz is el w a
ezitebhisini	e zi tebhis ini
wahlangana	w a hlangan a
wayengayimosi	w a ye nga yi mos i
esinqabile	e si nqab ile
mbhense	m bhens e
ekulesisimo	e ku le si si m o
sobabili	so ba bili
sekunje	se ku nje
kungakhohlakaleki	ku nga khohl akal ek i
kwasho	kw a sho
muntu	mu ntu
wayekhangwa	w a ye khang w a
izinkuni	i zin kuni
elincane	e li ncane
sesichaza	se si chaz a
x	x
kwamanela	kw a m anel a
osebamele	o se ba m el e
namaxhegu	n a ma xhegu
ayishoyo	a yi sho yo
uziphume	u zi phum e
laliwukhesiya	l a li wu khesiy a
olisekela	o li sek el a
nkosikazi	n kosi kazi
bukhombisa	bu khomb is a
engakhulumanga	e nga khulum anga
leso	le s o
sekugcotshwa	se ku gcotsh w a
umamncube	u ma m ncube
ababenomkhuba	a b a be n o m khuba
kutshelwe	ku tshel w e
isibhunywana	i si bhunyw ana
efasiteleni	e fasitel eni
ukuvevezela	u ku vevezel a
buthutha	bu thuth a
ngumuphi	ngu mu phi
izimvume	i zim vume
ephelayo	e phel a yo
kwemizi	kw e mi zi
yelambu	y e lambu
ethengisa	e theng is a
wenyoni	w e nyoni
yenzekile	y enz ek ile
ebekelwe	e bek el w e
kubuhlungu	ku buhlungu
ezinkulu	e zin kulu
ehamba	e hamb a
bafunani	ba fun a ni
esefike	e se fik e
ungikhalela	u ngi khal el a
isesidlekeni	i se si dlek eni
kwethunzi	kw e thunzi
yokuqala	y o ku qal a
wayesewulahlile	w a ye se wu lahl ile
elunge	e lung e
owenzenjena	o w enz e nje na
damu	damu
bazothi	ba zo thi
khumbula	khumbul a
ziyaphila	zi ya phil a
ilanga	i langa
yimbi	yi m bi
zikhula	zi khul a
isonto	i sonto
iye	i y e
ngumbuso	ng u m bus o
yayozihlalela	y a yo zi hlal el a
iya	i y a
leyo	le y o
ibabuze	i ba buz e
leya	le ya
wafumanisa	w a fuman is a
selimathambama	se li mathambama
ushayekile	u shay ek ile
kulentaba	ku le n taba
izikole	i zi kole
beze	be ze, be z e
nelanga	n e langa
beza	be z a
babuze	ba buz e
yomkhi	y o m kh i
wayengafunga	w a ye nga fung a
kumele	ku m el e
uphumule	u phumul e
ebhange	e bhange
lihlala	li hlal a
amasi	a ma si
ukuthuthwa	u ku thuth w a
luzovuthwa	lu zo vuth w a
kokhotheme	k o khothem e
bamangale	ba mangal e
ngakusasa	nga kusasa
yehlula	y ehlul a
neqholwayo	n e qhol w a yo
azifani	a zi fan i
samthatha	s a m thath a
athule	a thul e
wamfunani	w a m fun a ni
lalifakelwa	l a li fak el w a
iyangixaka	i ya ngi xak a
ebhokisini	e bhokis ini
asikufuni	a si ku fun i
ucabanga	u cabang a
yayibhekene	y a yi bhek en e
iphethe	i pheth e
wozwakala	w o zw akal a
wayeke	w a ye ke
ngisanqikaza	ngi sa nqikaz a
kambe	kambe
ngimthathaphi	ngi m thath a phi
ngibhala	ngi bhal a
ezicijile	e zi cij ile
lomakoti	lo makoti
ngamcela	ng a m cel a
okumele	o ku m el e
likhanya	li khany a
yinsini	y i n sini
makabuyele	ma ka buy el e
babehamba	ba be hamb a
izambane	i z ambane
imbuzi	i m buzi
phakade	phakade
omude	o mu de
zakhokhiswa	z a khokh is w a
akususe	a ku sus e
asebenzile	a sebenz ile
ngiyaxolisa	ngi ya xol is a
ujosaka	u josaka
kusho	ku sho
endaweni	e n daw eni
awukafuni	a wu ka fun i
gama	gama
esinjani	e si njani
ulethe	u leth e
eyikhumbula	e yi khumbul a
wazimisela	w a zi m is el a
intuthu	i n tuthu
wamxoxela	w a m xox el a
bebobabili	be bo ba bili
owayeyoba	o w a ye yo b a
nalendoda	na le n doda
ngiyomxoxela	ngi yo m xox el a
lingani	li ngani
kuleliyalizwe	ku le li ya li zwe
asefinyele	a se finyel e
nobukholwa	n o bu khol w a
makabonge	ma ka bong e
bakwa	ba kwa
lathi	l a thi
esexolisa	e se xol is a
waxoxela	w a xoxel a
ayibulale	a yi bulal e
usungumpetha	usungumpetha
esihlahleni	e si hlahl eni
ubuthaphuthaphu	u bu thaphuthaphu
engamashumi	e ng a ma shumi
ezincoma	e zi ncom a
kwenzenjani	kw enz e njani
bahleka	ba hlek a
akasenamandla	a ka se na ma ndla
ezinqola	e zin qola
sebelele	se be lel e
lisaqonde	li sa qond e
wayesekushaya	w a ye se ku shay a
wacosha	w a cosh a
zithwele	zi thwel e
wakwamowabi	wa kwa mowabi
zombhede	z o m bhede
lomhlangano	l o m hlangan o
yiru	yi ru
wangala	w a ng al a
nojakobe	n o jakobe
aya	a y a
ngingumbhuqwa	ngi ng u m bhuq w a
olicabangayo	o li cabang a yo
wayengithanda	w a ye ngi thand a
isigcino	i si gcin o
evela	e vel a
ayengaze	a ye nga ze
amakholwa	a ma khol w a
olwamahhala	o lwa ma hhala
balotsholwa	ba lotshol w a
amangalisa	a mangal is a
sebethole	se be thol e
kungekho	ku ng ekho
abese	a be se
kwathiwa	kw a th iw a
phansi	phansi
neyensikazi	n e y e n sikazi
esezazi	e se z azi
nokusetshenziswa	n o ku setshenz is w a
amagogolo	a ma gogolo
izovela	i zo vel a
kankazana	ka nkaz ana
ufake	u fak e
abheke	a bhek e
engaboni	e nga bon i
onjengomhlongo	o njeng o m hlongo
bamxosha	ba m xosh a, b a m xosh a
namayembe	n a ma yembe
yabafana	y a ba fana
ukukhipha	u ku khiph a
emtshela	e m tshel a
yezincwadi	y e zi ncwadi
imphatha	i m phath a
bamhlinze	ba m hlinz e
nizowaqhamukela	ni zo wa qhamuk el a
ukuzikhunga	u ku zi khung a
yomuzi	y o mu zi
lizokuba	li zo ku b a
angenzanga	a ng enz anga
kashakespeare	ka shakespeare
uyayiphika	u ya yi phik a
ivale	i val e
niyangiqambela	ni ya ngi qamb el a
emkhathini	e m khath ini
ngamaphoyisa	ng a ma phoyisa
uzomdlisa	u zo m dl is a
lokuba	l o kuba
beshiya	be shiy a
owazumeka	o w a zum ek a
ukhuluse	u khulus e
eyibiza	e yi biz a
akabezwa	a ka bez w a
namasondo	na ma sondo
asakulindile	a sa ku lind ile
kamnandi	ka mnandi
kuseyilo	ku se yi lo
ngibheka	ngi bhek a
ehhokweni	e hhokw eni
oluxoxekayo	o lu xox ek a yo
nempilo	n e m pil o
betshelwa	be tshel w a
e	e
singeze	si ngez e
kuniphathe	ku ni phath e
ushaka	u shaka
liyakwazi	li ya kw azi
akukho	a ku kho
emendweni	e m end w eni
masishane	ma si sh an e
nobufakazana	n o bu fakaz ana
nemibokwane	n e mi bokw ane
awunyakazisa	a wu nyakaz is a
ngesihenqo	ng e si henq o
beqala	be qal a
wayebona	w a ye bon a
wezizwe	w e zi zwe
esezibika	e se zi bik a
washo	w a sho
ngihlangene	ngi hlangen e
saphinda	s a phind a
ezithombeni	e zi thomb eni
asecuphe	a se cuph e
izitha	i zi tha
namadodana	n a ma dod ana
ngokuhlonipha	ng o ku hloniph a
cwaka	cwaka
ayivulele	a yi vul el e
kwadlamini	kwa dlamini
engihluphayo	e ngi hluph a yo
esinye	e si nye
ngizothi	ngi zo thi
akusizi	a ku siz i
ukulesisimo	u ku le si si m o
kukhokhwa	ku khokh w a
noshintshi	n o shintshi
beshaya	be shay a
nokuphendula	n o ku phendul a
ezingcwele	e zi ngcwel e
ngedlula	ng edlul a
likanokusho	lika n o ku sho
ngenhlanhlake	ng e n hlanhla ke
kuzindendandenda	ku zi ndenda ndend a
esikhotheni	e si khoth eni
ohlala	o hlal a
kwasilatini	kwa si latini
eyangihluphayo	e ya ngi hluph a yo
bekhwezwe	be khwez w e
ngucome	ng u come
afake	a fak e
bafuthi	ba futhi
ze	ze
okumvelelayo	o ku m vel el a yo
uthibile	u thib ile
ekusebenziseni	e ku sebenz is eni
walokhu	wa lo khu
ngalezizitebhisi	nga le zi zi tebhisi
ngokuzibulala	ng o ku zi bulal a
abekezela	a bekezel a
nalombuzo	na lo m buz o
bezindawo	b e zin dawo
zinamathelene	zi n a ma thelene
angibizanga	a ngi biz anga
obukhulu	o bu khulu
cela	cel a
ukuhlolwa	u ku hlol w a
oze	o z e
siyombona	si yo m bon a
oza	o z a
ungakatholi	u nga ka thol i
othanda	o thand a
ngendodana	ng e n dod ana
ngcono	ngcono
uphuza	u phuz a
imbuyisela	i m buy is el a
ongabe	o nga be
babenezikhowe	ba be n e zi khowe
ayezwa	a y ezw a
ezinsizweni	e zi nsizw eni
washona	w a shon a
owakhuluma	o w a khulum a
asigudluze	a si gudluz e
lamanqe	l a ma nqe
ugcina	u gcin a
yaphuma	y a phum a
umeromo	u meromo
egqoke	e gqok e
ensimaneni	e n siman eni
bashaye	ba shay e
osenzela	o s enz el a
wakha	w akh a
wakhe	wa khe
wakho	wa kho
evamisile	e vamis ile
kuyabonakala	ku ya bon akal a
intando	i n tand o
awayeke	a wa yek e
kuyahanjwa	ku ya hanj w a
sibonge	si bong e
aqale	a qal e
imikhono	i mi khono
aqala	a qal a
olidla	o li dl a
abempofu	a be mpofu
bayizwile	ba yi zw ile
enayo	e na yo
nokwesaba	n o kw esab a
ngingasezwa	ngi nga se zw a
wayengumntanekhaladi	w a ye ng u m ntan e khaladi
sinamalahle	si n a ma lahle
okwengulube	o kw e n gulube
ibhuku	i bhuku
engithanda	e ngi thand a
uzophumelela	u zo phumelel a
eside	e si de
ezindadlana	e zin dadl ana
engujesu	e ng u jesu
kungebalwe	ku nge bal w e
eziyizinhlobonhlobo	e zi yizinhlobonhlobo
ngiyaphupha	ngi ya phuph a
egijima	e gijim a
wayocelela	w a yo cel el a
ingekho	i ng ekho
sanikhethela	s a ni kheth el a
ayenzile	a y enz ile
edanawozi	e danawozi
sizongena	si zo ngen a
wakusa	w a ku s a
kudingeke	ku ding ek e
akake	a ka ke
wezinkomo	w e zin komo
ihlaya	i hlaya
oshayo	o sh a yo
ngiyajabula	ngi ya jabul a
baphumule	ba phumul e
usithole	u si thol e
siqhunsule	si qhunsul e
wayengacebeki	w a ye nga ceb ek i
uyawazi	u ya w azi
okwakubuye	o kw a ku buy e
ebinawo	e b i na wo
wayezoqala	w aye zo qal a
bayagqibana	ba ya gqib an a
emobeni	e mob eni
qathatha	qathatha
yayikhala	y a yi khal a
ongangoyise	o ngang o yise
okunika	o ku nik a
wayesanxephezisa	w a ye sa nxephez is a
ngokuphazima	ng o ku phazim a
sasingakangiboni	s a si nga ka ngi bon i
iboshwa	i bosh w a
nomeromo	n o meromo
inzalo	i n zal o
esethandazelwe	e se thandaz el w e
isimdunge	i s i m dung e
ababengadeli	a ba be nga del i
untuli	u ntuli
bafunde	ba fund e
elotshwe	e lotsh w e
wangena	w a ngen a
ngishaywa	ngi shay w a
ubungangena	u b u nga ngen a
ngalokho	nga lo kh o
imfuyo	i m fuy o
nibe	ni b e
asivakashayo	a si vakash a yo
emnyama	e mnyama
ngifele	ngi f el e
likathisha	lika thisha
nezalukazi	n e z alu kazi
waqhuba	w a qhub a
engashoni	e nga shon i
igundane	i gundane
mamkhize	ma m khize
uzobona	u zo bon a
ngokuqhubeka	ng o ku qhub ek a
lomgexo	lo m gex o
ngalento	nga le n to
ngangihlabe	ng a ngi hlab e
uyinkosikazi	u y i n kosi kazi
ekhulumayo	e khulum a yo
abakwamidiyani	a ba kwa midiyani
lamagondoviya	l a ma gondoviya
ungayibona	u nga yi bon a
akaphume	a ka phum e
ngothi	ng o thi
usulu	u sulu
wawuhlawula	w a wu hlawul a
nguwena	ngu we na
fumuka	fumuka
akezwa	a k ezw a
ubizwa	u biz w a
esigabeni	e si gab eni
uzochotshiswa	u zo chotsh is w a
ngizophoqeka	ngi zo phoq ek a
nokumhluphayo	n o ku m hluph a yo
wakhona	wa kho na
umlandela	u m landel a
kungaqikelela	ku nga qikel el a
kwesihlahla	kw e si hlahla
yakwangono	ya kwa ngono
lutho	lu tho
wamvuma	w a m vum a
nokuhlonishwa	n o ku hlonish w a
kuyimfihlo	ku y i m fihl o
waphunyula	w a phunyul a
umhlophe	u m hlophe
kumbokodwe	ku m bokodwe
ngezinyawo	ng e zi nyawo
hamba	hamb a
bathuthana	b a thuth an a
kusile	ku s ile
kumanje	ku manje
ngiyamkhulumisa	ngi ya m khulum is a
ngingakayi	ngi nga ka y i
angiseyona	a ngi se yo na
aphinde	a phind e
ujulile	u jul ile
ayibalulekile	a yi balulek ile
yakwazi	y a kw azi
zadla	z a dl a
yona	yo na
zizongiphendula	zi zo ngi phendul a
engaphila	e nga phil a
eseqonde	e se qond e
bakhiphe	ba khiph e
umbokodwe	u m bokodwe
kulelizwe	ku le li zwe
bavele	ba vele
ayesethe	a ye se th e
thandindawo	thand i n dawo
lendaxavu	l e n daxavu
namanye	n a ma nye
basendleleni	ba se n dlel eni
beyebula	be y ebul a
nohlobi	n o hlob i
mvuthu	m vuthu
imali	i mali
bayakuthakatha	ba ya ku thakath a
wazibiza	w a zi biz a
angikwazi	a ngi kw azi
ngizobabeka	ngi zo ba bek a
sekubuthene	se ku buth en e
zingane	zin gane
ajabule	a jabul e
khusasa	khusas a
lowomuthi	lo w o mu thi
nakubuthwa	na ku buth w a
ekuzona	e ku z on a
neyisikhombisa	n e y i si khomb is a
chaphasha	chaphasha
usezame	u se zam e
owatshela	o wa tshel a
ngapho	ngapho
ukuthathwa	u ku thath w a
salalela	s a lalel a
ngapha	ngapha
zosayitsheni	z o sayitsheni
ngaxakeka	ng a xak ek a
amazambane	a ma zambane
wayelokhu	wayelokhu
ewadini	e wad ini
ukwakha	u kw akh a
useyajuluka	u se ya juluk a
uyothula	u yo thul a
singamnuka	si nga m nuk a
ayenokubonisana	a ye n o ku bon is an a
awu	awu
kwaphambana	kw a phamb an a
awo	a wo
ngambongela	ng a m bong el a
uyoyinquma	u yo yi nqum a
kusobala	ku so bala
kazihlapuni	ka zihlapuni
nosakhile	n o s akh ile
wemfengwane	w e m fengwane
ngawakha	ng a w akh a
ididekile	i did ek ile
kapteni	kapteni
nguwe	ngu we
zasuka	z a suk a
nonina	n o nina
ithungathana	i thungath an a
ingasaphili	i nga sa phil i
inunu	i nunu
nga	nga
udidi	u didi
ngo	ng o
ngu	ng u
asiphindele	a si phind el e
kunina	ku nina
exoxa	e xox a
sengiyolala	se ngi yo lal a
nginomusa	ngi n o mu sa
ungumuntu	u ng u mu ntu
benosikhuni	be n o si khuni
nabefundisi	n a be fund is i
ekhonga	e khong a
nezinkomo	n e zin komo
izolo	i zolo
siyoyimba	si yo yi mb a
eyiqeda	e yi qed a
eyayihlala	e y a yi hlal a
ngifike	ngi fik e
isishwaphuluza	i si shwaphuluz a
ephika	e phik a
owangixosha	o w a ngi xosh a
abathi	a ba thi
uyiveza	u yi vez a
abathe	a ba th e
simuse	si mu s e
dadewethu	dade w ethu
uwuhenqele	u wu henq el e
yimithi	y i mi thi
engaziwa	e ng az iw a
kwetafula	kw e tafula
siyabhalelana	si ya bhal el an a
isingekho	i s i nge kho
elambeka	e l a m bek a
ayisekho	a yi se kho
sibongile	si bong ile
izothuthwa	i zo thuth w a
ubengalishaya	u be nga li shay a
uhluphi	u hluphi
kukanye	ku ka nye
wacabangela	w a cabangel a
emphakathini	e m phakath ini
bayenyuka	ba y enyuk a
ngezitoxoyi	ng e zi toxoyi
angincenge	a ngi nceng e
ayibale	a yi bal e
uyakuzwa	u ya ku zw a
ofakwa	o fak w a
ngoshaka	ng o shaka
eyehlayo	e y ehl a yo
lishayele	li shay el e
awukwazi	a wu kw azi
sasinokugula	s a si n o ku gul a
kunokulahlekelwa	kun o ku lahl ek el w a
uyamphuzisa	u ya m phuz is a
amakhala	a ma khala
elaphakathi	elaphakathi
nokuzenamisa	n o ku z enam is a
besebenza	be sebenz a
ebastion	e bastion
okusayo	o ku s a yo
lowomsebenzi	lo w o m sebenz i
ukuzuza	u ku zuz a
azifune	a zi fun e
kubhulose	ku bhulose
lingibuka	li ngi buk a
esecabange	e se cabang e
wayomshiya	w a yo m shiy a
bancenge	ba nceng e
efika	e fik a
kwakuke	kw a ku ke
kwangenza	kw a ng enz a
yabantu	y a ba ntu
umkhi	u m khi
ucela	u cel a
intsha	i n tsha
ini	i ni
owakhiwe	o w akh iw e
iqembu	i qembu
angesabi	a ng esab i
wawungafika	w a wu nga fik a
behluleka	b ehlul ek a
zathathwa	z a thath w a
uzothengisa	u zo theng is a
amanesi	a ma nesi
namuhla	na mu hla
ngemfe	ng e m fe
imhlolela	i m hlol el a
xulu	xulu
angasuke	a nga suk e
umlilo	u m lilo
usazohamba	u sa zo hamb a
angasuka	a nga suk a
nansi	nan si
ziphathwe	zi phath w e
ingathi	i nga thi
alushi	a lu sh i
izinja	i zin ja
ukuphumula	u ku phumul a
enhliziyweni	e n hliziyw eni
ehlupheka	e hluph ek a
azabe	a z ab e
itshe	i tshe
bayashada	ba ya shad a
senze	s enz e
yomlilo	y o m lilo
ichaza	i chaz a
engingakusiza	e ngi nga ku siz a
exoxwayo	e xox w a yo
kutholakale	ku thol akal e
manzi	ma nzi
ukuwabona	u ku wa bon a
nomlomo	n o m lomo
usigodo	u si godo
akahlale	a ka hlal e
negoqwana	n e goqw ana
njena	nje na
kwakuyindlwana	kw a ku y i n dlw ana
iziphicaphicwano	i zi phica phic w an o
lingakafiki	li nga ka fik i
abavakashelayo	a ba vakash el a yo
lethiwe	l eth iw e
yacishe	y acishe
ximba	ximb a
uzokwemuka	u zo kw emuk a
yigosa	y i gosa
bathanda	ba thand a
bathande	ba thand e
abahlinzayo	a ba hlinz a yo
singili	singili
wedwa	we dwa
azidudoze	a zi dudoz e
kuyezwakala	ku y ezw akal a
ngakho	nga kho
emvondlweni	e m vondlw eni
eminyakeni	e mi nyak eni
ngesizulu	ng e si zulu
ngakha	ng akh a
yagcwala	y a gcwal a
bagqekezi	ba gqekez i
wanakana	w a nak an a
isigaba	i si gaba
kwasifuba	kwa si fuba
besingashiswa	be si nga sh is w a
ngophondo	ng o phondo
kwayekwa	kw a yek w a
obuhamba	o bu hamb a
ekuphethe	e ku pheth e
kumamncube	ku ma m ncube
esayaluza	e sa yaluz a
icebo	i ceb o
eshaywa	e shay w a
eshaywe	e shay w e
kanukani	ka nukan i
isithupha	i si thupha
ezakhe	e z akh e, e z akhe
emakhulwini	e ma khulw ini
komakati	k o makati
afike	a fik e
afika	a fik a
asheri	asheri
ngiyisiboshwa	ngi y i si bosh w a
awusalindi	a wu sa lind i
singangena	si nga ngen a
zikhuluma	zi khulum a
ephilile	e phil ile
abukeke	a buk ek e
ungazange	u nga zange
kusame	ku sa m e
sasinenhlanganisela	s a si n e n hlangan is el a
afune	a fun e
afuna	a fun a
afrika	afrika
beshiswa	be sh is w a
ngehashi	ng e hashi
aselindele	a se lind el e
phinde	phinde
oyilepu	o y i lepu
bakubona	ba ku bon a
ngobuhlakani	ng o bu hlakani
ho	ho
ngibe	ngi b e
he	he
ngingekuthande	ngi nge ku thand e
akasemubi	a ka se mu bi
bepha	be ph a
engingakulanda	e ngi nga ku land a
uphethwe	u pheth w e
yilababafanyana	yi la ba ba fany ana
emahlongwa	e ma hlongwa
bengqubuzeka	be ngqubuz ek a
angebe	a ng eb e
ngafuza	ng a fuz a
yokugebenga	y o ku gebenga
nidedele	ni dedel e
uyothini	u yo thi ni
wayekhalelani	w a ye khal el a ni
ngokusebenza	ngo ku sebenz a
yokuphumulela	y o ku phumulel a
agcobe	a gcob e
kuyisikhashana	ku y i si khash ana
anqamule	a nqamul e
usangiphindisela	u sa ngi phind is el a
esesimweni	e se si m w eni
wama	w a m a
kungathi	ku nga th i
wami	wa mi
kokwezwi	k o kw e zwi
ibingazange	i b i nga zange
ngiyabheka	ngi ya bhek a
ekhipha	e khiph a
esifudumezi	e si fudumezi
waphashanyiswa	w a phashanyis w a
indesheni	i n desheni
kwakungalindelekile	kw a ku nga lind el ek ile
inyakaza	i nyakaz a
limlandele	li m landel e
amaambulense	a ma ambulense
ningiphe	ni ngi ph e
amcusukela	a m cusuk el a
efikelwa	e fikel w a, e fik el w a
ehlukene	e hluken e
lomuzi	lo mu zi, l o mu zi
baya	ba y a
babekhuluma	ba be khulum a
baye	ba y e
ngalo	nga lo
engakafiki	e nga ka fik i
ngale	nga le
kumenza	ku m enz a
nokwesula	n o kw esul a
kude	ku de
ephila	e phil a
ukuqamba	u ku qamb a
usista	u sista
ngimangele	ngi mangel e
uwashaya	u wa shay a
namabhulukwana	n a ma bhulukw ana
esakwazi	e sa kw azi
lomkhuhlane	lo m khuhlane, l o m khuhlane
sambeka	s a m bek a
mugqa	mu gqa
esivuthayo	e si vuth a yo
dokotela	dokotela
abarimi	a ba rimi, a ba rim i
sezisengiwe	se zi seng iw e
ibhalwe	i bhal w e
iwethusa	i w ethus a
ulokhu	u lokhu
yagxila	y a gxil a
lokufa	l o ku f a
yamashinga	y a ma shinga
ndini	ndini
ngingenza	ngi ng enz a
sishaye	si shay e
kukwasislilly	ku kwa sis lilly
ukuziphambanisa	u ku zi phamban is a
makaphinde	ma ka phind e
ihotela	i hotela
zazikhula	z a zi khul a
seyifisa	se yi fis a
yokunikelela	y o ku nikel el a
amyeke	a m yek e
lwami	lwa mi
uzophila	u zo phil a
izihlahla	i zi hlahla
siyofika	si yo fik a
wazithulela	w a zi thul el a
mkhize	m khize
umama	u mama
ngamanzi	ng a ma nzi
usafa	u sa f a
akavale	a ka val e
basahlikana	ba sa hlik an a
osekwenzekile	o se kw enz ek ile
ekuqaleni	e ku qal eni
sinjena	si nje na
