sürecek	sür:null ecek:null
öpme	öp:null me:null
ayrılmak	ayrıl:null mak:null, ayr:null ıl:null mak:null
kimse	kimse:null
duyum	duyu:null m:null, duy:null um:null, duyum:null
perşembe	perşembe:null
burada	bura:null da:null
tatlıya	tat:null lı:null ya:null, tatlı:null ya:null
denir	de:null n:null ir:null
deniz	deniz:null
ramazan	ramazan:null
şifa	şifa:null
süslü	süs:null lü:null
biletler	bilet:null ler:null
kapattım	kapat:null tı:null m:null, kapa:null t:null tı:null m:null
ekmeğini	ekmeğ:null i:null ni:null, ekmeğ:null in:null i:null
bilge	bilge:null
şoförünü	şoför:null ün:null ü:null, şoför:null ü:null nü:null
meseleyi	mesele:null yi:null
ekipten	ekip:null ten:null, ek:null ip:null ten:null
recep	recep:null
ortalamalarını	ortalama:null lar:null ı:null nı:null, ortala:null ma:null ları:null nı:null, ortalama:null ları:null nı:null, ortalama:null lar:null ın:null ı:null, ortala:null ma:null lar:null ın:null ı:null, ortala:null ma:null lar:null ı:null nı:null
işleriniz	işle:null r:null iniz:null, iş:null ler:null iniz:null
ısınmış	ısın:null mış:null
sevdin	sev:null di:null n:null
sevdim	sev:null di:null m:null
kuralım	kura:null lı:null m:null, kural:null ım:null, kur:null a:null lım:null, kur:null a:null lı:null m:null, kur:null alı:null m:null
oha	oha:null
cadde	cadde:null
girişimler	girişim:null ler:null
üstünde	üstün:null de:null, üst:null ün:null de:null, üst:null ü:null nde:null
resimciden	resim:null ci:null den:null
temizlenecekler	temiz:null len:null ecek:null ler:null, temizle:null n:null ecek:null ler:null
şeylerini	şey:null leri:null ni:null, şey:null ler:null in:null i:null, şey:null ler:null i:null ni:null
anasının	an:null ası:null n:null ın:null, an:null a:null sı:null nın:null, ana:null sı:null n:null ın:null, ana:null sı:null nın:null, an:null ası:null nın:null, an:null a:null sı:null n:null ın:null
büyüdü	büyü:null dü:null
düşün	düş:null ün:null, düşün:null
dükkana	dükkan:null a:null
kuzeni	kuzen:null i:null
konuştuğum	konuş:null tuğ:null um:null
üstelik	üstelik:null, üste:null lik:null
yüzüne	yüz:null ün:null e:null, yüz:null ü:null ne:null
şeyden	şey:null den:null
at	at:null
evime	ev:null im:null e:null
mahalle	mahalle:null
sıkıldı	sıkıl:null dı:null, sık:null ıl:null dı:null
kendimizi	kendimiz:null i:null, kendi:null miz:null i:null
okuyan	oku:null yan:null, oku:null ya:null n:null
sıradışı	sıradışı:null
hastalıktan	hasta:null lık:null tan:null, hastalık:null tan:null
dört	dört:null
arasından	ara:null sı:null ndan:null, ara:null sı:null nda:null n:null, ara:null sı:null n:null dan:null
kontrolleri	kontrol:null ler:null i:null, kontrol:null leri:null
yazlıkların	yaz:null lık:null lar:null ın:null, yazlık:null lar:null ın:null
ayarlayalım	ayarla:null ya:null lı:null m:null, ayarla:null yalı:null m:null, ayarla:null ya:null lım:null
olsan	ol:null sa:null n:null
satış	satış:null, sat:null ış:null
olsam	ol:null sa:null m:null
yıl	yıl:null
öleceğim	öl:null eceğ:null im:null
yaptırmaya	yap:null tır:null may:null a:null, yap:null tır:null ma:null ya:null
birazcık	birazcık:null
çöktüm	çök:null tü:null m:null
misin	mi:null si:null n:null, mi:null sin:null, mis:null in:null
sakarya	sakarya:null
istirahat	istirahat:null
kalacaklar	kal:null acak:null lar:null
atın	at:null ın:null
geldiniz	gel:null di:null niz:null
dönüp	dön:null üp:null
evimizi	ev:null imiz:null i:null
anaokulu	anaokulu:null
tekrar	tekrar:null
sakatım	sakat:null ım:null
helal	helal:null
vakit	vakit:null
bakacağım	bak:null acağ:null ım:null
saatlerindeki	saat:null ler:null i:null nde:null ki:null, saat:null ler:null in:null de:null ki:null, saat:null leri:null nde:null ki:null
demişsin	de:null miş:null si:null n:null
dükkanının	dükkan:null ın:null ın:null, dükkan:null ı:null nın:null
deyince	deyi:null n:null ce:null
olayda	olay:null da:null
arkadan	arka:null dan:null
henüz	henüz:null
piyasaya	piyasa:null ya:null
kalabilmiş	kal:null abil:null miş:null
ayaklarını	ayak:null lar:null ı:null nı:null, ayak:null ları:null nı:null, ayak:null lar:null ın:null ı:null
okuttular	oku:null t:null tu:null lar:null
koymaya	koy:null may:null a:null, koy:null ma:null ya:null
tavrımda	tavr:null ım:null da:null
gittikten	git:null tik:null ten:null
kaydedebilsinler	kayded:null ebil:null sinler:null
mesajlarıma	mesaj:null lar:null ım:null a:null
üçte	üç:null te:null
kokusunu	koku:null su:null nu:null
tezahürat	tezahürat:null
aklında	akl:null ı:null nda:null, ak:null lı:null n:null da:null, akl:null ın:null da:null
korku	korku:null
tarzında	tarz:null ın:null da:null, tarz:null ı:null nda:null
şayet	şayet:null
mahvetti	mahvet:null ti:null
uygulamak	uygula:null mak:null
memur	memur:null
düğüne	düğün:null e:null, düğü:null n:null e:null
sıkıldım	sıkıl:null dı:null m:null, sık:null ıl:null dı:null m:null
sıkıldın	sıkıl:null dı:null n:null, sık:null ıl:null dı:null n:null
evdekiler	ev:null de:null ki:null ler:null
kesmek	kes:null mek:null
kocası	koca:null sı:null
tehlikeli	tehlike:null li:null
birine	bir:null in:null e:null, bir:null i:null ne:null
konuşabilirsin	konuş:null abil:null ir:null si:null n:null
birini	bir:null i:null ni:null, bir:null in:null i:null
verecekler	ver:null ecek:null ler:null
alev	alev:null
sıhhati	sıhhat:null i:null
sabahları	sabah:null lar:null ı:null, sabahla:null r:null ı:null, sabahları:null, sabah:null ları:null
cihana	cihan:null a:null
başlamamı	başla:null ma:null m:null ı:null, başla:null ma:null mı:null
sürsün	sür:null sün:null
sinemaya	sinema:null ya:null
siirt	siirt:null
takdir	takdir:null
rüzgar	rüzgar:null
rastgelir	rastgel:null ir:null
annem	anne:null m:null
giyinen	giy:null in:null e:null n:null, giyin:null en:null, giy:null in:null en:null, giyin:null e:null n:null
boyasını	boya:null sı:null nı:null
dedemin	dede:null m:null in:null
mürüvvet	mürüvvet:null
ortada	orta:null da:null
yaptın	yap:null tı:null n:null
yaptım	yap:null tı:null m:null
yaptık	yap:null tık:null, yap:null tı:null k:null
ibne	ibne:null
gazete	gazete:null
malikanesinde	malikane:null si:null nde:null
bilirsin	bil:null ir:null si:null n:null
aranda	ara:null n:null da:null
bekledim	bekle:null di:null m:null
enerji	
necla	necla:null
kitap	kitap:null
tarık	tarık:null
buz	buz:null
ayşegül'ün	ayşegül:null ':null ün:null
dinle	dinle:null
alaaddin	alaaddin:null
kardeşini	kardeş:null i:null ni:null, kardeş:null in:null i:null
urfa	urfa:null
kardeşine	kardeş:null in:null e:null, kardeş:null i:null ne:null
gelinliği	gelin:null liğ:null i:null, gelinliğ:null i:null
dayanıklılığı	dayanıklı:null lığ:null ı:null
birin	bir:null in:null
kızlara	kız:null lar:null a:null, kız:null la:null r:null a:null
muhabbet	muhabbet:null
sevimli	sevimli:null, sevim:null li:null
muhafaza	muhafaza:null
İskenderun	İskenderun:null
milyonda	milyon:null da:null
minibüs	minibüs:null
defterlerimizi	defter:null ler:null imiz:null i:null
ayırtmışlar	ayır:null t:null mış:null lar:null
alsak	al:null sa:null k:null
halı	halı:null
yönetim	yönetim:null
kurtardın	kurtar:null dı:null n:null
koşturmaca	koş:null tur:null ma:null ca:null, koştur:null ma:null ca:null
işte	iş:null te:null, işte:null
vardır	var:null dır:null
derslerin	ders:null ler:null in:null
derslerim	ders:null ler:null im:null
gösterdi	göster:null di:null
dökülmeye	dök:null ül:null mey:null e:null, dök:null ül:null me:null ye:null
şampiyonlar	şampiyon:null lar:null
çevrim	çevri:null m:null, çevrim:null
durumları	durum:null lar:null ı:null, durum:null ları:null
bahçe	bahçe:null
yüzlerden	yüzle:null r:null den:null, yüz:null ler:null den:null
gece	gece:null, gec:null e:null
semiz	semiz:null
geliri	gelir:null i:null, gel:null ir:null i:null
yönelik	yönelik:null
pilav	pilav:null
ilkokuldan	ilkokul:null dan:null
fırlatma	fırla:null t:null ma:null
aradıklarında	ara:null dık:null lar:null ın:null da:null, ara:null dık:null ları:null nda:null, ara:null dık:null lar:null ı:null nda:null
teksas	teksas:null
faydamız	fayda:null mız:null
dakikalık	dakika:null lık:null
yaşamak	yaşa:null mak:null
şeylerin	şey:null ler:null in:null
ders	ders:null
perhiz	perhiz:null
deri	de:null r:null i:null, deri:null
hata	hata:null
tebrik	tebrik:null
durdu	dur:null du:null
sipariş	sipariş:null
gideceğiz	gid:null e:null ceğiz:null
patladım	patla:null dı:null m:null, pat:null la:null dı:null m:null
bıraktı	bırak:null tı:null
nesil	nesil:null
gideceğim	gid:null eceğ:null im:null
gölgeler	gölgele:null r:null, gölge:null ler:null
şimdiden	şimdi:null den:null, şimdiden:null
okulunda	okul:null u:null nda:null, okul:null un:null da:null
ürpertici	ürper:null t:null ici:null, ürperti:null ci:null
elif	elif:null
yanıt	yanıt:null
bütün	bütün:null
avustralya	avustralya:null
senin	sen:null in:null
verip	ver:null ip:null
verir	ver:null ir:null
kuaföre	kuaför:null e:null
sekizinden	sekiz:null i:null nden:null, sekiz:null in:null den:null
dördüncü	dörd:null üncü:null, dördün:null cü:null
büyümüş	büyü:null müş:null
samimi	samimi:null
arabistan'dan	arabistan:null ':null dan:null
apo'nun	apo:null ':null nun:null, apo:null ':null n:null un:null
avukatlık	avukat:null lık:null
yapacak	yap:null acak:null
öğrencileri	öğrenci:null ler:null i:null, öğrenci:null leri:null
oyan	oya:null n:null
matematik	matematik:null
verin	ver:null in:null, veri:null n:null
bağırmak	bağır:null mak:null
konuşman	konuşma:null n:null, konuş:null ma:null n:null
anlaş	an:null laş:null, anlaş:null
reklam	reklam:null
titiz	titiz:null
ikinci	iki:null nci:null
hakemden	hakem:null den:null
güneyi	güney:null i:null
tokmak	tokmak:null
gavurcasına	gavur:null ca:null sı:null n:null a:null, gavur:null ca:null sı:null na:null, gavur:null casına:null
yiyeceğiz	yi:null ye:null ceğiz:null
notere	noter:null e:null
dilek	dilek:null
kur	kur:null
balıklarını	balık:null lar:null ı:null nı:null, balık:null ları:null nı:null, balık:null lar:null ın:null ı:null
duş	duş:null
diler	
denemelerim	deneme:null ler:null im:null, dene:null me:null ler:null im:null
denemelerin	dene:null me:null ler:null in:null, deneme:null ler:null in:null
ısmarla	ısmarla:null
küpe	küpe:null, küp:null e:null
çıksın	çık:null sın:null
yazdık	yaz:null dık:null, yaz:null dı:null k:null
sayfasında	sayfa:null sı:null nda:null
gündüz	gündüz:null
yazdın	yaz:null dı:null n:null
hastalandı	hasta:null lan:null dı:null
kazıklayacak	kazıkla:null yacak:null
öncesi	ön:null ce:null si:null, önce:null si:null, öncesi:null
güçlerini	güç:null leri:null ni:null, güç:null ler:null in:null i:null, güç:null ler:null i:null ni:null
deminden	dem:null i:null nden:null, demin:null den:null, dem:null in:null den:null
bölümünü	bölüm:null ü:null nü:null, bölüm:null ün:null ü:null
kemal'in	kemal:null ':null in:null
martta	mart:null ta:null
cacık	cacık:null
hastalanırsın	hasta:null lan:null ır:null sı:null n:null
alıştım	alış:null tı:null m:null
güçlenir	güç:null len:null ir:null
ortak	ortak:null
yakında	yakı:null n:null da:null, yakında:null, yakın:null da:null
araştırmalarımız	araştırma:null lar:null ımız:null, ara:null ş:null tır:null ma:null lar:null ımız:null, araştır:null ma:null lar:null ımız:null
foruma	forum:null a:null
korkarım	kork:null ar:null ım:null
hedeflerini	hedefle:null r:null in:null i:null, hedef:null ler:null i:null ni:null, hedef:null ler:null in:null i:null, hedefle:null r:null i:null ni:null, hedef:null leri:null ni:null
sanırım	san:null ır:null ım:null, sanırım:null
eğitim	eğitim:null
sarışın	sarışın:null, sar:null ış:null ın:null
kerizi	keriz:null i:null
pazarı	pazar:null ı:null
uygarlıklar	uygar:null lık:null lar:null
akrabaya	akraba:null ya:null
ablanın	ab:null lan:null ın:null, abla:null nın:null, abla:null n:null ın:null
vermesin	ver:null me:null si:null n:null
kazıya	kazı:null ya:null
apar	apar:null
çıkan	çıka:null n:null, çık:null an:null, çık:null a:null n:null
semti	semt:null i:null
İngiltere'den	İngiltere:null ':null den:null
çıkar	çık:null ar:null, çıkar:null
yetenekten	yetenek:null ten:null
kızına	kız:null ın:null a:null, kız:null ı:null na:null
kenan'a	kenan:null ':null a:null
fantezi	fantezi:null
ilanlar	ilan:null lar:null
özledin	özle:null di:null n:null
soruşturma	soruşturma:null, soruştur:null ma:null
mi	mi:null, m:null i:null
maaş	maaş:null
mu	mu:null
ölmüş	öl:null müş:null
gözümün	göz:null üm:null ün:null
bayramı	bayram:null ı:null
çözüm	çöz:null üm:null, çözüm:null
mardin	mardin:null
hatırlarsın	hatırla:null r:null sı:null n:null
çözüme	çözüm:null e:null, çöz:null üm:null e:null
tekim	tek:null im:null
değişecek	değiş:null ecek:null
hisseden	hissed:null e:null n:null, hissed:null en:null, hisse:null den:null
kullanım	kullanım:null
gitse	git:null se:null
hastalığın	hastalığ:null ın:null, hasta:null lığ:null ın:null
bozulmadan	boz:null ul:null ma:null dan:null
buna	buna:null, bu:null na:null, bun:null a:null
kızımı	kız:null ı:null mı:null, kız:null ım:null ı:null
kanka	kanka:null
yılında	yıl:null ı:null nda:null, yıl:null ın:null da:null
hayatımda	hayat:null ım:null da:null
kadar	kadar:null
bunu	bu:null nu:null, bun:null u:null
Şevval	Şevval:null
sırasında	sıra:null sı:null nda:null
yaparsın	yap:null ar:null sı:null n:null
işyeri	işyer:null i:null, işyeri:null
kapsamında	kapsam:null ı:null nda:null, kapsam:null ın:null da:null
beyninde	beyn:null i:null nde:null, beyn:null in:null de:null
milyarlar	milyar:null lar:null
istemek	iste:null mek:null
ısmarlaması	ısmarla:null ma:null sı:null
alışmış	alış:null mış:null
memnun	memnu:null n:null, memnun:null
kitleri	kit:null leri:null, kit:null ler:null i:null
yakışıksız	yakışık:null sız:null
amin	amin:null
büyümesine	büyü:null me:null si:null n:null e:null, büyü:null me:null si:null ne:null
attılar	at:null tı:null lar:null
yamuk	yamuk:null
memnunum	memnun:null um:null
görüştürelim	gör:null üş:null tür:null e:null lim:null, görüş:null tür:null eli:null m:null, gör:null üş:null tür:null e:null li:null m:null, gör:null üş:null tür:null eli:null m:null, görüş:null tür:null e:null li:null m:null, görüş:null tür:null e:null lim:null
dağların	dağla:null r:null ın:null, dağ:null lar:null ın:null
sekizde	sekiz:null de:null
puanlarına	puanla:null r:null ı:null na:null, puanla:null r:null ın:null a:null, puan:null lar:null ın:null a:null, puan:null ları:null na:null, puan:null lar:null ı:null na:null
çektirttirdim	çek:null tir:null t:null tir:null di:null m:null
tıp	
eskiler	eski:null ler:null
anlaşmışlar	anlaş:null mış:null lar:null, an:null laş:null mış:null lar:null
yönlü	yön:null lü:null
çalışmaya	çalışma:null ya:null, çalış:null may:null a:null, çalış:null ma:null ya:null
sportif	
dershaneden	dershane:null den:null
kunduzlu	
neler	ne:null le:null r:null, ne:null ler:null
fatih'te	fatih:null ':null te:null
götür	götür:null
hakim	haki:null m:null, hakim:null
tekirdağ'a	tekirdağ:null ':null a:null
eridi	eri:null di:null
güçten	güç:null ten:null
gerçek	gerçek:null
bakanlığı	
uçakların	uçak:null lar:null ın:null
doğadaki	doğa:null da:null ki:null, doğ:null a:null da:null ki:null
mine'ye	mine:null ':null ye:null
koltukta	koltuk:null ta:null
açtım	aç:null tı:null m:null
tıraş	tıraş:null
alıp	al:null ıp:null
bülent'in	bülent:null ':null in:null
alem	alem:null
istekli	istek:null li:null
kırıklığına	kırık:null lığ:null ın:null a:null, kırık:null lığ:null ı:null na:null
edebilirsin	ed:null ebil:null ir:null si:null n:null
anlamını	anlam:null ın:null ı:null, anlam:null ı:null nı:null
başkanı	başka:null n:null ı:null, başkan:null ı:null
bozdoğan	bozdoğan:null
diye	di:null ye:null, diye:null
pijama	pijama:null
üniversitede	üniversite:null de:null
gol	gol:null
arasan	ara:null sa:null n:null
değerleri	değ:null er:null ler:null i:null, değ:null er:null leri:null, değer:null leri:null, değer:null ler:null i:null
çirkin	çirkin:null
sizinki	siz:null in:null ki:null
izinin	iz:null in:null in:null, iz:null i:null nin:null
içici	iç:null ici:null, içi:null ci:null
müdahale	müdahale:null
görmüş	gör:null müş:null
yürek	yürek:null
verdiğimden	ver:null diğ:null im:null den:null
finallere	final:null ler:null e:null
ressam	ressam:null
nabzı	nabz:null ı:null
konulara	konu:null lar:null a:null
barklarını	bark:null lar:null ı:null nı:null, bark:null ları:null nı:null, bark:null lar:null ın:null ı:null
sakin	saki:null n:null, sakin:null
üzerinden	üzer:null i:null nde:null n:null, üzer:null i:null nden:null, üz:null er:null i:null nden:null, üzer:null in:null den:null, üz:null er:null in:null den:null, üzer:null in:null de:null n:null
cevahir'de	cevahir:null ':null de:null
ticaret	
kına	kına:null, kın:null a:null
yanlarına	yan:null ları:null na:null, yan:null lar:null ı:null na:null, yan:null lar:null ın:null a:null, yanla:null r:null ı:null na:null, yanla:null r:null ın:null a:null
yaşadığı	yaşa:null dığ:null ı:null
anasını	ana:null sı:null nı:null, an:null a:null sı:null nı:null, an:null ası:null nı:null, an:null ası:null n:null ı:null, ana:null sı:null n:null ı:null, an:null a:null sı:null n:null ı:null
gidecek	gid:null ecek:null
memurlukta	memur:null luk:null ta:null
top	top:null
görüştük	görüş:null tük:null, gör:null üş:null tük:null, gör:null üş:null tü:null k:null, görüş:null tü:null k:null
muhasebe	muhasebe:null
gösterdiğimizde	göster:null diğ:null imiz:null de:null
görüştün	gör:null üş:null tü:null n:null, görüş:null tü:null n:null
sigortasını	sigorta:null sı:null nı:null
düşünelim	düşün:null e:null li:null m:null, düşün:null eli:null m:null, düşün:null e:null lim:null
Şükrü	Şükrü:null
geliş	geliş:null, gel:null iş:null
giyerim	giy:null er:null im:null
otomatik	otomatik:null
sınırları	sınırla:null r:null ı:null, sınır:null ları:null, sınır:null lar:null ı:null
okudu	oku:null du:null
süt	süt:null
bedavaları	bedava:null lar:null ı:null, bedava:null ları:null
japon	japon:null
sivil	sivil:null
tatillerinde	tatil:null ler:null i:null nde:null, tatil:null leri:null nde:null, tatil:null ler:null in:null de:null
kalsın	kal:null sı:null n:null, kal:null sın:null
tekstil	
döneceğiz	dön:null e:null ceğiz:null
gününe	gün:null ün:null e:null, günü:null n:null e:null, gün:null ü:null ne:null
uykusuzum	uyku:null suz:null um:null
alışkanlıklar	alışkanlık:null lar:null
alaz'ı	
traşımı	traş:null ı:null mı:null, traş:null ım:null ı:null
bahçeden	bahçe:null den:null
arkadaşlarınızı	arkadaş:null lar:null ınız:null ı:null
eyvallah	eyvallah:null
kış	kış:null
buket'ten	buket:null ':null ten:null
kıskandım	kıskan:null dı:null m:null
pembe	pembe:null
hastaneden	hastane:null den:null
önünden	ön:null ü:null nden:null, ön:null ü:null nde:null n:null, ön:null ün:null den:null, ön:null ün:null de:null n:null
alara	alara:null
yöntem	yöntem:null
mutlu	mut:null lu:null, mutlu:null
olmuş	ol:null muş:null
artıyı	artı:null yı:null
yaptırma	yap:null tır:null ma:null
aksesuarları	aksesuar:null ları:null, aksesuar:null lar:null ı:null
davası	dava:null sı:null
aptal	aptal:null
ayrı	ayrı:null
yürü	yürü:null
istediğin	iste:null diğ:null in:null
şuram	şura:null m:null
şunları	şu:null nlar:null ı:null
istediğim	iste:null diğ:null im:null
metal	metal:null
kaplama	kaplam:null a:null, kaplama:null, kapla:null ma:null
gazın	gaz:null ın:null
ablamlara	abla:null m:null lar:null a:null
yana	yan:null a:null, yana:null
yakaladık	yakala:null dık:null, yakala:null dı:null k:null
sağda	sağ:null da:null
hanım	han:null ım:null, hanım:null
yani	yani:null
dersine	de:null r:null si:null n:null e:null, ders:null in:null e:null, ders:null i:null ne:null, de:null r:null si:null ne:null
hocaların	hoca:null lar:null ın:null
evleneceksin	ev:null len:null ecek:null si:null n:null, evlen:null ecek:null si:null n:null
kaleci	kaleci:null, kale:null ci:null
doldu	dol:null du:null
jale	jale:null
abo	abo:null
yeğenim	yeğen:null im:null
forum	
anneannem	anneanne:null m:null
velilerden	veli:null ler:null den:null
görsen	gör:null se:null n:null
içinde	iç:null in:null de:null, iç:null i:null nde:null, içi:null n:null de:null, için:null de:null
yusuf	yusuf:null
nihal	nihal:null
ninemden	nine:null m:null den:null
çıkarmış	çık:null ar:null mış:null, çıkar:null mış:null
araziye	arazi:null ye:null
renkli	renk:null li:null
canı	can:null ı:null
sularından	sula:null r:null ın:null dan:null, su:null lar:null ın:null dan:null, su:null ları:null ndan:null, sula:null r:null ı:null ndan:null, su:null lar:null ı:null ndan:null
yağını	yağı:null n:null ı:null, yağ:null ı:null nı:null, yağ:null ın:null ı:null
efe'de	efe:null ':null de:null
sahipliği	sahip:null liğ:null i:null
yakıcı	yak:null ıcı:null, yakı:null cı:null
çalış	çal:null ış:null, çalış:null
bel	bel:null
okurum	okur:null um:null, oku:null r:null um:null
dönersin	dön:null er:null si:null n:null, döner:null si:null n:null
bakarlar	bak:null ar:null lar:null
elazığ'a	elazığ:null ':null a:null
üniformaları	üniforma:null lar:null ı:null, üniforma:null ları:null
bulacaksın	bul:null acak:null sı:null n:null
aralığında	aralığ:null ı:null nda:null, aralığ:null ın:null da:null, ara:null lığ:null ın:null da:null, ara:null lığ:null ı:null nda:null
oturdum	otur:null du:null m:null
amerikan	amerika:null n:null, amerikan:null
fırtınalar	fırtına:null lar:null
oturduk	otur:null duk:null, otur:null du:null k:null
çalışması	çalışma:null sı:null, çalış:null ma:null sı:null
kurallarını	kural:null lar:null ın:null ı:null, kural:null ları:null nı:null, kural:null lar:null ı:null nı:null
yengemde	yenge:null m:null de:null
azından	az:null ın:null dan:null, az:null ı:null ndan:null, azı:null n:null dan:null
hissetmesi	hisset:null me:null si:null
buldu	bul:null du:null
kapı	kap:null ı:null, kapı:null
okullar	okul:null lar:null
falansa	fa:null lan:null sa:null
fenerli	fener:null li:null
ailen	aile:null n:null
dalga	dalga:null
sinirlendi	sinirle:null n:null di:null, sinir:null len:null di:null
mum	mum:null
izlemiş	izle:null miş:null
sevdiler	sev:null di:null ler:null
araya	ara:null ya:null
toparlarım	toparla:null r:null ım:null, topar:null lar:null ım:null
azıcık	azıcık:null
gidebilirim	gid:null ebil:null ir:null im:null
arasın	ara:null sı:null n:null, ara:null sın:null
takunyalar	takunya:null lar:null
stilim	stil:null im:null
alıştı	alış:null tı:null
dakikanın	dakika:null n:null ın:null, dakika:null nın:null
avuçlamamdan	avuçla:null ma:null m:null dan:null
sahalara	saha:null lar:null a:null
mutlu	mut:null lu:null, mutlu:null
arattın	ara:null t:null tı:null n:null
illetten	illet:null ten:null
orta	orta:null
forumlara	forum:null lar:null a:null
geçti	geç:null ti:null
öfkem	öfke:null m:null
manisa	manisa:null
görünmeye	gör:null ün:null me:null ye:null, görün:null mey:null e:null, görün:null me:null ye:null, gör:null ün:null mey:null e:null
bakacağız	bak:null a:null cağız:null
gideceğini	gid:null eceğ:null i:null ni:null, gid:null eceğ:null in:null i:null
bulursun	bul:null ur:null su:null n:null
ergen'in	ergen:null ':null in:null
sıcak	sıcak:null
otobüste	otobüs:null te:null
gideceğine	gid:null eceğ:null i:null ne:null, gid:null eceğ:null in:null e:null
abinin	abi:null nin:null, abi:null n:null in:null
namazından	namaz:null ı:null ndan:null, namaz:null ın:null dan:null
konuyu	konu:null yu:null
olun	o:null lu:null n:null, ol:null un:null
eksiklerimiz	eksik:null ler:null imiz:null
simge	simge:null
konuya	konu:null ya:null
hangisine	hangi:null si:null ne:null
olur	ol:null ur:null, olur:null
öbürkünü	öbürkü:null n:null ü:null
gündüzleri	gündüz:null leri:null, gündüz:null ler:null i:null
yorganına	yorgan:null ı:null na:null, yorgan:null ın:null a:null
soktu	sok:null tu:null
kişilik	kişilik:null, kişi:null lik:null
unutmuş	unut:null muş:null
babanın	baba:null nın:null, baba:null n:null ın:null
şeydekileri	şey:null de:null ki:null ler:null i:null, şey:null de:null ki:null leri:null
numaradan	numara:null dan:null
gelirim	gel:null ir:null im:null, gelir:null im:null
bırakabilir	bırak:null abil:null ir:null
düzeyinde	düzey:null i:null nde:null, düzey:null in:null de:null
çocukların	çocuk:null lar:null ın:null
girişinde	giriş:null i:null nde:null, gir:null iş:null i:null nde:null, giriş:null in:null de:null, gir:null iş:null in:null de:null
çam	çam:null
müthiş	müthiş:null
sıçtık	sıç:null tı:null k:null, sıç:null tık:null
gelirsin	gel:null ir:null si:null n:null, gelir:null si:null n:null
kelimesi	kelime:null si:null
üst	üst:null
videoya	video:null ya:null
yalçın	yalçın:null
beyza	beyza:null
çay	çay:null
araması	ara:null m:null a:null sı:null, ara:null ma:null sı:null
kendin	kendi:null n:null, kendin:null
kendim	kendi:null m:null, kendim:null
gideceği	gid:null eceğ:null i:null
halledeceğim	halled:null eceğ:null im:null
lirayı	lira:null yı:null
mutfağı	mutfağ:null ı:null
halledeceğiz	halled:null e:null ceğiz:null
sevil	sevil:null
madem	madem:null
buse	buse:null
kurslar	kurs:null lar:null
sinop	sinop:null
sezai	sezai:null
yanı	yan:null ı:null
arabasına	araba:null sı:null na:null
tembel	tembel:null
düğün	düğün:null, düğü:null n:null, düğ:null ün:null
sıkıldığı	sıkıl:null dığ:null ı:null, sık:null ıl:null dığ:null ı:null
halılar	halı:null lar:null
efendim	efendi:null m:null, efendim:null
tırmanan	tırman:null a:null n:null, tırman:null an:null
başkan	başka:null n:null, başkan:null
sıhhiye'de	
bitince	bit:null i:null nce:null, bit:null in:null ce:null, bit:null ince:null
jambonlu	jambon:null lu:null
şoförlük	şoför:null lük:null
tutturmuş	tut:null tur:null muş:null
şimdilerde	şimdi:null ler:null de:null
civarı	civar:null ı:null
düşünebilirim	düşün:null ebil:null ir:null im:null
muradiye'ye	muradiye:null ':null ye:null
ulusu	ulu:null su:null, ulus:null u:null, ulusu:null
yakınlık	yakın:null lık:null
saçını	saç:null ı:null nı:null, saçı:null n:null ı:null, saç:null ın:null ı:null
bütünü	bütün:null ü:null
yöneticisi	yönet:null ici:null si:null, yönetici:null si:null
hızına	hız:null ı:null na:null, hız:null ın:null a:null
oraları	ora:null ları:null, ora:null lar:null ı:null
gayrimenkul	
ismimi	ism:null i:null mi:null, ism:null im:null i:null
ağrılar	ağrı:null lar:null
derneği'nin	
tarafında	taraf:null ın:null da:null, taraf:null ı:null nda:null
ettireceksin	et:null tir:null ecek:null si:null n:null
sanayi	
nesne	nesne:null
hamur	hamur:null
eli	el:null i:null
yanlış	yanlış:null
ela	ela:null
ele	ele:null, el:null e:null, e:null le:null
gelecek	gel:null ecek:null, gelecek:null
eksiklerimi	eksik:null ler:null im:null i:null, eksik:null ler:null i:null mi:null, eksik:null leri:null mi:null
alakası	alaka:null sı:null
hangisini	hangi:null si:null ni:null
ekonomik	ekonomik:null
d	d:null
İngiliz	İngiliz:null
nazife	nazif:null e:null, nazife:null
sapan	sap:null an:null, sap:null a:null n:null, sapa:null n:null, sapan:null
kudurdu	kudur:null du:null
yorgun	yorgun:null
aşırı	aşırı:null
alsın	al:null sı:null n:null, al:null sın:null
anneye	anne:null ye:null
sivri	sivri:null
geleceğim	geleceğ:null im:null, gel:null eceğ:null im:null
gezersin	gez:null er:null si:null n:null
beklemekten	bekle:null mek:null ten:null
ırmak	ırmak:null
geleceğiz	gel:null e:null ceğiz:null, gele:null ceğiz:null
Ömer'in	Ömer:null ':null in:null
planlarım	plan:null lar:null ım:null, planla:null r:null ım:null
hayrettin	hayrettin:null
yarin	yar:null in:null
zorlama	zorlama:null, zorla:null ma:null, zor:null la:null ma:null
amcası	amca:null sı:null
sabahkini	sabah:null ki:null n:null i:null, sabah:null ki:null ni:null
cafe'den	cafe:null ':null den:null
halimi	hal:null im:null i:null, hal:null i:null mi:null
isparta'da	isparta:null ':null da:null
vallahi	vallahi:null
Ünlü	Ünlü:null
tavuktan	tavuk:null tan:null
bilecek	bil:null ecek:null
